優先級,最佳板位,variant_id,卡名,collector_number,tcg,畫布,原因,圖檔路徑
P2-去背,135,149,Charizard EX,090/087,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/d03962c4978af2161cb2b0ecafc6fb17281e7bdb22e53a8856d6649790799701.webp
P2-去背,143,174,Solgaleo & Lunala GX,063/049,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/a55f959f35de2abab0a410a7e3a4967ca76dadd4572d7b90f39e6c3aac1bc23f.webp
P2-去背,147,184,Mega Rayquaza EX,095/081,pokemon,716x998,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/791b29a28fcccf387ec5ed8ba24e686673275b293f3c6514c8f55f7f2d7dc5de.webp
P2-去背,148,186,Pikachu,224/SM-P,pokemon,715x995,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/2e71ab04322e6c764a9d8e2251384341d3f064f7a866547bd6b07eb124ab0c34.webp
P2-去背,151,181,Erika's Hospitality,190/173,pokemon,716x999,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/fd2b368c2e988e3902851f6d8a350e9d6bc6865bf9058607ce8756905a729e47.webp
P2-去背,153,182,Leafeon ex,200/187,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/46f1a3f27f6e987af32185d9a5e586ab262530b4f27a0d2d9473b134822abf50.webp
P2-去背,155,183,Lillie's Full Force,068/049,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/9926f82846026ceb52de0f5f773139b662d03f0d13b4d7075588ed523ecd6a43.webp
P2-去背,157,185,Marnie,068/060,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/6f98dd93933bd0b3911ce466cc16cdf34a2e16d851cf7c5bbbb49f8436e34aed.webp
P2-去背,158,190,Shining Magikarp,010/025,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/b85e7d607e7f4621afbcb0c884609268eb165d375a2c60f7b4cdc4f9761731de.webp
P2-去背,161,189,Pikachu,073/071,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/777ad3a2add156d2aba7ea5ea22d2461b5b1cd86dec68ac2ec11740a88743c34.webp
P2-去背,165,195,Charizard V,307/190,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/38d361ee6fbb1263ebec77323d1836366f4ce97359ddb30f46a26c5d8ea73427.webp
P2-去背,169,204,Gengar & Mimikyu GX,038/095,pokemon,716x997,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/cbb93e8427f92ed9bc6a9742b00aca545418fea20efc64622dcfb6b0868b01fc.webp
P2-去背,171,213,Armored Mewtwo,365/SM-P,pokemon,715x994,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/ba23e15834bac16ed1fb33cc39629972e926dab93868cf20cf5ae2cf238efd93.webp
P2-去背,172,207,Rosa,067/049,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/4fd26cf793d96ad14fb2aa89fb19e74c3308b89b5d8dbb9f6049803b5cc297be.webp
P2-去背,173,205,Mew,183/172,pokemon,707x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/08fc406518002ae230473ad044b2ef5ecaa4f58e935fd7d92e2c4f79f20485a6.webp
P2-去背,177,222,Marnie,198/190,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/d1d221cf519708ecab1b7b2782c5adf418588e282181b0955858c9f96d6e6374.webp
P2-去背,178,187,Eevee ex,224/187,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/dda1389bfc250ca09105c3ab5bfb2e17ec4350f07e2a59ad3333407e4f3b6558.webp
P2-去背,179,210,M Rayquaza EX,024/025,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/aacf41dda8524c88519744a2d158f3878220d59d08ccd88eac79c98c80ce7fd9.webp
P2-去背,182,223,Rayquaza VMAX,252/184,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/fc8ede328c81069909669e8efda8ff0594260fde235ebb46ae784fd15c94cbe3.webp
P2-去背,183,196,Mewtwo,183/165,pokemon,500x711,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/bb754c9555389a215eef6d89ecb20a44d7ce56d50a8e4d7cd03ec9ad0ac70aa9.webp
P2-去背,186,248,Arceus & Dialga & Palkia GX,100/095,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/508cbf9f71b2c2275504e42d656ca2eaba3871c1606584a86717da137ecdcf05.webp
P2-去背,188,243,Reshiram & Zekrom GX,064/049,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/500dcb9de0109e869f60230a86d7fef2f35c2eba37c05f2d69f1f6ff69d58614.webp
P2-去背,190,236,Yokohama's Pikachu,283/SM-P,pokemon,716x996,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/1cbcd9765d761006c2b210ed50c0cc3162616bf468cf76de8b5e47b3423f3b58.webp
P2-去背,192,246,Blastoise,003/025,pokemon,500x698,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/a982f67312d7c6948b4cd59186bbe8464cf4587fd6cca0587195a7eeb38b8277.webp
P2-去背,196,265,Venusaur,002/025,pokemon,600x838,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/0cf6f2c358bdb95e02f3cba18760b71b2b1b0e0861d748953bbf4f03008d78d3.webp
P2-去背,197,260,Charmander,168/165,pokemon,640x905,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/b89b02d2abcae035cefeb43fe195fafd5e6e35426eeef19c8f2a2ddece394844.webp
P2-去背,199,252,Pikachu VMAX,223/184,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/f7d3e02b385c90b5decda1fa732bd51fbf3ca9ff3417290392a14c3b8c08ec94.webp
P2-去背,201,280,Mew V,106/100,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/a921348b4fd99b466fb7a14cfd4e53941fe3de561b245c1a839956f12cf11fd3.webp
P2-去背,204,266,Mew ex,014/025,pokemon,500x698,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/ccda130c4412c68f368d97ddc6b65720509d99e9f720b3a1ac7871c63dbaa292.webp
P2-去背,210,325,Reshiram,020/025,pokemon,500x698,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/e44221cd3f226fe0ca3acdfad64959f9028c4d29cb09c0efd4f1bc9f663f3e45.webp
P2-去背,212,288,Pikachu ex,236/187,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/98311f75bbc67210fb09e77d8ecb444d2154a0e2b7ae2b79f304aca5ac7f4ef1.webp
P2-去背,213,300,Zekrom,021/025,pokemon,500x698,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/e3ac73e14f95be293ec1f93369ba9dda31832205b9f0803439b590e9e42221f5.webp
P2-去背,217,332,Pikachu V,222/184,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/045997c12c519d296ab342bbb5621c33dd35bb71b395f425eeed5ebbb916c926.webp
P2-去背,228,344,Pikachu,272/S-P,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/da3a4068c26e27403713c2182d297dda80ff6c8854efe854186817bdef90e0d0.webp
P2-去背,229,350,Shadow Rider Calyrex VMAX,086/070,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/cdce8fcec38567f27c833e0153ae8cc19aa503d7d6f8ac0961dbbb3eaae39eba.webp
P2-去背,230,351,Shining Rayquaza,057/072,pokemon,715x994,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/792bc167c9b007f828fe522cb94f189a672a897e8222c1b62db295fa72cc92cc.webp
P2-去背,235,356,Roaring Moon ex,218/187,pokemon,600x838,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/26d3a1532adb2147bfae753c325fdacf6bf7bee4812c189d42f39e8cce1ae25b.webp
P2-去背,238,362,Mewtwo EX,022/025,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/0c2aab4a8115347098bb2f917a09cbb8b926d58b5bd76e84e690955c413cd8e2.webp
P2-去背,243,365,Dark Gyarados,005/025,pokemon,500x698,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/d343abef9e641d04c040ede5cf0b47c2c13db715f84b8d46adbb637ce10c2d14.webp
P2-去背,244,370,Mewtwo & Mew GX,052/173,pokemon,716x997,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/6a85e1486160f668f82b969d13f64b243740daf65a6c2434666f9e45e9bda8fe.webp
P2-去背,245,368,Radiant Charizard,011/071,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/c72cdf662d0fa3a311a28d22871e82b29081317e385cefa1c2ec09a0c38de3b2.webp
P2-去背,250,379,Green's Exploration,061/054,pokemon,716x999,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/ea905b5e6415a191e4444b24a7c01190d5697564721d3775e7bf8b94e69bab92.webp
P2-去背,254,380,Gengar VMAX,002/019,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/3cc8cdc751ebc8b82787c936893175287e42699694e95733128b80a15e178338.webp
P2-去背,257,387,Mega Gengar ex,003/021,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/af3aa791d70698dcd4a483b085b3b0d5eb1d9563c300ba8984a3f23f9cd1c26f.webp
P2-去背,259,386,Rayquaza,056/076,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/96103a1c552191ee418edc4d2cfc5b3c9af4e2cb078d3b2eb08a3c80bc3e39e1.webp
P2-去背,260,390,Mewtwo,014/032,pokemon,444x620,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/113f2bc8d52ab5cebe5a609349635950ca5abe37d153da2501a55c49157f830c.webp
P2-去背,261,392,Surfing Pikachu VMAX,022/028,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/29ab8e71f4ac4b1cb2c06d9b3e74ea683d65c1186f2d6aefbbea77404879256d.webp
P2-去背,264,394,Surfing Pikachu V,021/028,pokemon,716x1000,圓角外係遺留背景，深色底會見到方角,apps/web/public/market-assets/cae00ed05ede6df5449c4eba801ba0abccf23490f0233d1dfcc4a4dca70d2c95.webp
