variant_id,卡名,collector_number,tcg,最佳板位,板,C1_白角,C2_係咪嗰張卡,C3_走位白邊,原生透明圓角,畫布,白角三角白佔,邊緣斜率px,內環白佔,原因,圖檔路徑
13,Poncho,230/XY-P,pokemon,8,ptcg100#8/tcg300#8,fail,pass,pass,否,716x996,0.9802,0.0,0.0037,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/45057a27dd489a9b630cbdcffa0b627fccf170eb93eac271a9811456ef834f94.webp
60,Roronoa Zoro,OP06-118,one-piece,8,op100#8/tcg300#8,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
10,Luigi Pikachu,296/XY-P,pokemon,9,ptcg100#9/tcg300#9,fail,pass,pass,否,716x996,0.9689,0.0,0.0028,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/cc5bbbe7b5cee6912faea4612985dad67220dd44c8a1f9b73d4e858fcdbbdcc3.webp
63,Monkey D. Luffy,EB02-061,one-piece,9,op100#9/tcg300#9,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
11,Charizard EX,276/XY-P,pokemon,10,ptcg100#10/tcg300#10,fail,pass,pass,否,716x998,0.9944,0.0,0.0143,白角 4/4（圓弧外係實心白背景）；畫布 716x998（非 429x600 標準）,apps/web/public/market-assets/ff4ca4de89f3fcadee767648f7555cf9f054c837b1c74136fa5ddbac5cbf11a2.webp
69,Monkey D. Luffy,OP13-118,one-piece,10,op100#10/tcg300#10,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
12,Poncho,231/XY-P,pokemon,11,ptcg100#11/tcg300#11,fail,pass,pass,否,716x996,0.9802,0.0,0.0032,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/3673771fd2eb6e456191440d8aa3f9be8caafbf3380d4516d158796531771fad.webp
72,Monkey D. Luffy,OP05-119,one-piece,11,op100#11/tcg300#11,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
21,Team Skull Pikachu,013/SM-P,pokemon,12,ptcg100#12/tcg300#12,pass,未檢查,pass,是,430x610,0.0,0.0,0.0019,三項都過；畫布 430x610（非 429x600 標準）,apps/web/public/market-assets/901bffe63af4a9810979eb715dc4859183ce4625865c9535bccbfae7979aeae9.webp
64,Roronoa Zoro SEC-SP Booster Pack Wings Of The Captain,OP06-118,one-piece,12,op100#12/tcg300#12,pass,pass,pass,否,436x610,0.0072,0.0,0.0053,三項都過；畫布 436x610（非 429x600 標準）,apps/web/public/market-assets/014e98692c02e0d4e82b4d6853b554c9ca5c43c532cda8d64e479f5890dfcf85.webp
15,Giratina V,111/100,pokemon,13,ptcg100#13/tcg300#13,fail,pass,pass,否,640x903,0.4437,0.0,0.0032,淺色方角 1/4（圓弧外係淺灰背景）；畫布 640x903（非 429x600 標準）,apps/web/public/market-assets/3486d5c09ca67bc5ca425cc8abb2fa6738fe6715073bb5224ab41e0bf2201962.webp
78,Nami,OP01-016,one-piece,13,op100#13/tcg300#13,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
16,Mimikyu,289/SM-P,pokemon,14,ptcg100#14/tcg300#14,fail,pass,pass,否,715x994,1.0,0.0,0.0867,白角 4/4（圓弧外係實心白背景）；畫布 715x994（非 429x600 標準）,apps/web/public/market-assets/16dc4f22e0567d43bdcca0b4b61abf3629ee1ae88a543e5839af4fdba7a46434.webp
71,Nami R-SP Premium Booster One Piece Card The Best,OP01-016,one-piece,14,op100#14/tcg300#14,pass,pass,fail,否,436x610,0.1367,2.0,0.2632,歪斜（卡面邊緣斜 2px）；白邊（內環白佔 26%）；畫布 436x610（非 429x600 標準）,apps/web/public/market-assets/042e5b03dc11936b17da440b397d26b1b3a9d7499b9ee8e62750add31c55ab9c.webp
17,Charizard ex,201/165,pokemon,15,ptcg100#15/tcg300#15,pass,pass,pass,否,640x904,0.3944,0.0,0.0021,三項都過；畫布 640x904（非 429x600 標準）,apps/web/public/market-assets/841518ea83ed6930cbf5c467972909bd7bf8f89fa8712d9f980e36069dd723f2.webp
80,Gol D. Roger SEC-GSP,OP09-118,one-piece,15,op100#15/tcg300#15,pass,pass,fail,否,436x610,0.2878,3.0,0.187,歪斜（卡面邊緣斜 3px）；白邊（內環白佔 19%）；畫布 436x610（非 429x600 標準）,apps/web/public/market-assets/1540ba99065b8f575a915416f88d9e2159b25e0df05913cb79a393707ab0cd0b.webp
18,Charizard,001/025,pokemon,16,ptcg100#16/tcg300#16,fail,pass,pass,否,500x698,0.663,0.0,0.0051,白角 2/4（圓弧外係實心白背景）；畫布 500x698（非 429x600 標準）,apps/web/public/market-assets/db6912febb94b1610dc4ba0719fec3985148a61cd97da42de67d356877f8dd5a.webp
98,Shanks SEC-SP Booster Pack ROMANCE DAWN,OP01-120,one-piece,16,op100#16/tcg300#16,pass,pass,fail,否,434x610,0.1367,5.0,0.1436,歪斜（卡面邊緣斜 5px）；白邊（內環白佔 14%）；畫布 434x610（非 429x600 標準）,apps/web/public/market-assets/50b2a9ec5d7d444c9ec56f61d06d528b32b187af70eef787e8dba9b82a848850.webp
20,Latias & Latios GX,105/095,pokemon,17,ptcg100#17/tcg300#17,fail,pass,pass,否,716x998,0.9915,0.0,0.0668,白角 4/4（圓弧外係實心白背景）；畫布 716x998（非 429x600 標準）,apps/web/public/market-assets/e48cd23a356216fe5fb0dfdba74d98e2d5b58fb06df659be90e9601108dbbf5a.webp
87,Boa Hancock SR-SP Booster Pack The Future After 500 years,OP07-051,one-piece,17,op100#17/tcg300#17,pass,pass,pass,否,436x610,0.0,0.0,0.0335,三項都過；畫布 436x610（非 429x600 標準）,apps/web/public/market-assets/b64e2b49d587f8b40a47649bcbd9e104f7d48e032e113fdc65b454976a3e7dd1.webp
26,Mario Pikachu,293/XY-P,pokemon,18,ptcg100#18/tcg300#18,fail,pass,pass,否,716x996,0.9661,0.0,0.0237,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/ca7a375eedb82fa1036432928689bac0b7571427df83fb6602b3c81d9e987a20.webp
90,Trafalgar Law,ST10-010,one-piece,18,op100#18/tcg300#18,pass,pass,pass,否,436x610,0.0504,1.0,0.0685,三項都過；畫布 436x610（非 429x600 標準）,apps/web/public/market-assets/930798331ec4fd8da989648d988e6923e2c7912ea8d3d108bf5beda1819379a1.webp
25,Red's Pikachu,270/SM-P,pokemon,19,ptcg100#19/tcg300#19,fail,pass,suspect,否,716x995,1.0,0.0,0.1622,白角 4/4（圓弧外係實心白背景）；白邊（內環白佔 16%）；畫布 716x995（非 429x600 標準）,apps/web/public/market-assets/dac8da36c3de3d064903d07a69583f4a01d77c8f39f73aff9687932d70ffb940.webp
102,Shanks SEC-SP Booster Pack ROMANCE DAWN,OP01-120,one-piece,19,op100#19/tcg300#19,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
23,Mew ex,347/190,pokemon,20,ptcg100#20/tcg300#20,pass,pass,pass,否,640x899,0.412,0.0,0.0024,三項都過；畫布 640x899（非 429x600 標準）,apps/web/public/market-assets/3fcf410013c4baa4dd9773f08c1eef6f728e490b4c342853dd32894b00bc070d.webp
103,Monkey D. Luffy,OP01-003,one-piece,20,op100#20/tcg300#20,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
27,Psyduck,286/SM-P,pokemon,21,ptcg100#21/tcg300#21,fail,pass,pass,否,715x994,1.0,0.0,0.086,白角 4/4（圓弧外係實心白背景）；畫布 715x994（非 429x600 標準）,apps/web/public/market-assets/a590fa638d2b7969b559e97d21219a45f2155f3aa6801f4fea338eb8265e64f1.webp
107,Boa Hancock,OP07-051,one-piece,21,op100#21/tcg300#21,pass,pass,pass,是,429x600,0.0,1.0,0.0002,三項都過,apps/web/public/market-assets/8f19d661d0e6538571cbff7d01894529d82481ee4782e0825ba8ef2b1c9b44ca.webp
29,Gengar VMAX,020/019,pokemon,22,ptcg100#22/tcg300#22,fail,未檢查,pass,否,573x800,0.686,0.0,0.0195,白角 3/4（圓弧外係實心白背景）；畫布 573x800（非 429x600 標準）,apps/web/public/market-assets/54ab0c18fae314e5566ec831c388a266bd8dc0098ec1c40283e6a02bbbf68183.webp
112,Monkey.D.Luffy SEC-SPC 3th Anniversary Special Card Booster Pack A Fist of Divine Speed,OP05-119,one-piece,22,op100#22/tcg300#22,pass,pass,fail,是,445x610,0.0,2.0,0.2509,歪斜（卡面邊緣斜 2px）；白邊（內環白佔 25%）；畫布 445x610（非 429x600 標準）,apps/web/public/market-assets/0f5fde6fb92a0f3e5486b781f4bd250908b6c222f441ade44e9b0226a96dc6a8.webp
33,Lillie,119/114,pokemon,23,ptcg100#23/tcg300#23,fail,未檢查,pass,否,716x997,0.9972,0.0,0.0544,白角 4/4（圓弧外係實心白背景）；畫布 716x997（非 429x600 標準）,apps/web/public/market-assets/ca61046591166b90f313c280799a4550906760fb3fadaa9f0d8d7080cf0f853e.webp
111,Monkey.D.Luff,ST10-006,one-piece,23,op100#23/tcg300#23,pass,fail,pass,是,429x600,0.0,0.0,0.022,佔位圖：卡面印住大字「NOW DESIGNING」，官方未出圖,apps/web/public/market-assets/203b13932049817a0d6bd4169a768015afbcb28e9b6a97e989419e35c11edd58.webp
30,Detective Pikachu,098/SV-P,pokemon,24,ptcg100#24/tcg300#24,pass,未檢查,pass,是,434x609,0.0,0.0,0.1015,三項都過；畫布 434x609（非 429x600 標準）,apps/web/public/market-assets/f8753daf010c4d761404e1d0bf888c2b180bc14be986d04257479bf44f348642.webp
128,Monkey D. Luffy,OP11-118,one-piece,24,op100#24/tcg300#24,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
31,Moltres Zapdos Articuno GX,SM210,pokemon,25,ptcg100#25/tcg300#25,pass,未檢查,suspect,是,441x610,0.0432,0.0,0.153,白邊（內環白佔 15%）；畫布 441x610（非 429x600 標準）,apps/web/public/market-assets/279bd0345af76ab2806a35afbf39b92851e80ef6478e1e196cc910bbcbb7261a.webp
132,Boa Hancock,OP01-078,one-piece,25,op100#25/tcg300#25,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
51,Luigi Pikachu,295/XY-P,pokemon,26,ptcg100#26/tcg300#26,fail,未檢查,pass,否,716x996,0.9689,0.0,0.0277,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/74c4ae5076a2ca0252dbe5e496d9f6144a5ef6a8938bd5c5b55201eed08b8c93.webp
134,Monkey D. Luffy,OP13-118,one-piece,26,op100#26/tcg300#26,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
35,Pikachu,153/SV-P,pokemon,27,ptcg100#27/tcg300#27,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
137,Monkey.D.Luffy SEC-SP Booster Pack CARRYING ON HIS WILL,OP13-118,one-piece,27,op100#27/tcg300#27,pass,pass,pass,是,431x610,0.0,0.0,0.0,三項都過；畫布 431x610（非 429x600 標準）,apps/web/public/market-assets/2d8df069009e74d81dcdedb39740dd57ba60907b69bfcb6efbe463e98c8a9a66.webp
38,Pikachu ex,001/030,pokemon,28,ptcg100#28/tcg300#28,fail,未檢查,pass,否,716x1000,0.8362,0.0,0.0022,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/ce322227e878403b06bb7af57adc82901a705a84573960b70de6e5c936ef6f5a.webp
146,Monkey D Luffy,OP05-119,one-piece,28,op100#28/tcg300#28,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
45,Pikachu EX,094/087,pokemon,29,ptcg100#29/tcg300#29,fail,pass,pass,否,716x996,0.7514,0.0,0.0035,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/ac3b834b27bfad23afd00644d2df239776c162cc2cdfe12acafebb079a06b0e2.webp
150,Monkey.D.Luffy SEC-SP Booster Pack A Fist of Divine Speed,OP11-118,one-piece,29,op100#29/tcg300#29,pass,pass,pass,是,431x608,0.0,0.0,0.0008,三項都過；畫布 431x608（非 429x600 標準）,apps/web/public/market-assets/ed47c59bbbc6fd4408566a2bfe5cf72b58ad6d5f4e51687fde30d6177d426dac.webp
32,_____'s Pikachu,007/025,pokemon,30,ptcg100#30/tcg300#30,fail,pass,pass,否,716x1000,0.6949,0.0,0.0043,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/4ef116fb8a5fbe00561bb9db16e1785304633d2e971e20593fa7f13b9504b5d4.webp
157,Roronoa Zoro,OP01-025,one-piece,30,op100#30/tcg300#30,pass,pass,pass,是,429x600,0.0,0.0,0.0005,三項都過,apps/web/public/market-assets/e599f4a3daebf2c4cdee20765ed1a4e38e87db8458c1b21db1da1a35c3b88edc.webp
37,Mega Gengar ex,240/193,pokemon,31,ptcg100#31/tcg300#31,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/8ba3e2f94e7815a0a155e9db0a2f3ed03bce9cd9c24f266387e137126bd710cb.webp
163,Monkey D. Luffy,ST21-014,one-piece,31,op100#31/tcg300#31,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
34,Mew/Mewtwo Gx,SM191,pokemon,32,ptcg100#32/tcg300#32,pass,未檢查,suspect,是,429x600,0.0,0.0,0.1564,白邊（內環白佔 16%）,apps/web/public/market-assets/2ce502904b397d671c7caf0accb975daab5efc3af8a0b851049839f6c417ba44.webp
171,Monkey D Luffy,OP09-119,one-piece,32,op100#32/tcg300#32,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
40,Eevee,287/SM-P,pokemon,33,ptcg100#33/tcg300#33,fail,pass,pass,否,715x994,1.0,0.0,0.0865,白角 4/4（圓弧外係實心白背景）；畫布 715x994（非 429x600 標準）,apps/web/public/market-assets/87bb2bc1e88005472965bdd5f7c9944854bfceed786c66d2b5983e1711550db7.webp
175,Tony Tony Chopper,EB01-006,one-piece,33,op100#33/tcg300#33,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
39,Giratina Vstar,GG69,pokemon,34,ptcg100#34/tcg300#34,pass,pass,fail,是,429x600,0.0,3.0,0.0442,歪斜（卡面邊緣斜 3px）,apps/web/public/market-assets/cc20cc2151effc3eae41766c9f06b4bee541cf1f0837b2bef4de29b612be9218.webp
188,Portgas D. Ace,OP02-013,one-piece,34,op100#34/tcg300#34,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
46,Magikarp,080/073,pokemon,35,ptcg100#35/tcg300#35,pass,未檢查,pass,否,640x910,0.4542,0.0,0.0023,三項都過；畫布 640x910（非 429x600 標準）,apps/web/public/market-assets/f390719a4d34cc180c3db43985ab7682c1ed2b472b1ccf84cfc1132e45887b24.webp
192,Sanji,OP06-119,one-piece,35,op100#35/tcg300#35,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
41,Mewtwo Vstar,GG44,pokemon,36,ptcg100#36/tcg300#36,pass,pass,fail,是,429x600,0.0,8.0,0.4032,歪斜（卡面邊緣斜 8px）；白邊（內環白佔 40%）,apps/web/public/market-assets/452a94fd004dc28398fb1c98c347c260ec5528489f27df3ddd09865e50b27151.webp
197,Nami,OP09-050,one-piece,36,op100#36/tcg300#36,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
48,Charizard Gx,SV49,pokemon,37,ptcg100#37/tcg300#37,pass,未檢查,pass,是,429x600,0.0,0.0,0.0901,三項都過,apps/web/public/market-assets/5cecbaf215a0b142e4e6bc925da5e3c6de178176f6f4084260dc53b7d2278a0a.webp
249,Monkey D Luffy,P-043,one-piece,37,op100#37/tcg300#37,pass,pass,fail,否,436x610,0.3957,2.0,0.201,歪斜（卡面邊緣斜 2px）；白邊（內環白佔 20%）；畫布 436x610（非 429x600 標準）,apps/web/public/market-assets/d0a5f0411ecec39143dd05eb9b6f011a9ac164145aeda97bce1f991ea6c4437a.webp
53,Pikachu,400/SM-P,pokemon,38,ptcg100#38/tcg300#38,fail,pass,pass,否,716x996,1.0,0.0,0.0849,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/1a677ca76ccf0532e1b8f4e2ac40f78de3dd0c40691f6e4bb3e9862ec5d3fcf4.webp
276,Boa Hancock SR-SPC,EB03-026,one-piece,38,op100#38/tcg300#38,pass,fail,pass,是,436x610,0.0,0.0,0.0049,樣本圖：卡面印住大字「SAMPLE」水印；畫布 436x610（非 429x600 標準）,apps/web/public/market-assets/2ff47d7dd0644e8b4bc263d9e50c5cd1d22a7565ac3777f3147c508bbe1e3f9c.webp
50,Pikachu & Zekrom GX,101/095,pokemon,39,ptcg100#39/tcg300#39,fail,pass,pass,否,716x997,0.9802,1.0,0.064,白角 4/4（圓弧外係實心白背景）；畫布 716x997（非 429x600 標準）,apps/web/public/market-assets/bb33b190473463b4ddd909f51ea444f41a52d422a39a414499a71e05b1503ea5.webp
267,Monkey D Luffy SEC-P,OP05-119,one-piece,39,op100#39/tcg300#39,pass,pass,pass,否,436x610,0.0,0.0,0.0092,三項都過；畫布 436x610（非 429x600 標準）,apps/web/public/market-assets/ba1263b02aad7f6306ac40cbefe0933cd72a5386a1332643ee560094549384ce.webp
49,Pikachu ex,132/106,pokemon,40,ptcg100#40/tcg300#40,pass,未檢查,pass,是,429x600,0.0,1.0,0.1022,三項都過,apps/web/public/market-assets/7327f8e7c49e44fabacfb917a73191ebc7a99508a1366bc0dd2061f8fa2578ce.webp
311,Dracule Mihawk SEC-SP Booster Pack THE AZURE SEA'S SEVEN,OP14-119,one-piece,40,op100#40/tcg300#40,pass,pass,pass,是,437x610,0.0,0.0,0.0919,三項都過；畫布 437x610（非 429x600 標準）,apps/web/public/market-assets/b628f951347036cdcdb7fe27f0fde7799420ea84d5d3772516322da56bbba9a6.webp
44,Pikachu,010/032,pokemon,41,ptcg100#41/tcg300#41,fail,pass,pass,否,716x999,0.9972,0.0,0.0292,白角 4/4（圓弧外係實心白背景）；畫布 716x999（非 429x600 標準）,apps/web/public/market-assets/5e8cd66a439ea600ce69125bdafbdf8363b394fbe5a0f367d9e60c3338bc73d0.webp
55,Pikachu ex,234/193,pokemon,42,ptcg100#42/tcg300#42,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/8ad3ee8fbf405ac0864c224f222b3aaa3d80cced120eaf7131e7271518fac3b7.webp
57,Pikachu,208/S-P,pokemon,43,ptcg100#43/tcg300#43,pass,未檢查,suspect,是,426x609,0.0,1.0,0.4834,白邊（內環白佔 48%）；畫布 426x609（非 429x600 標準）,apps/web/public/market-assets/b672ac008682aa0e86ced222f5f872d31c12f7a5aa7ac3320de811e2661dccd4.webp
59,Mega Charizard X ex,116/080,pokemon,44,ptcg100#44/tcg300#44,pass,未檢查,pass,否,717x1000,0.0,0.0,0.0,三項都過；畫布 717x1000（非 429x600 標準）,apps/web/public/market-assets/99197ad90c2106325d7376cf81519b30c871a80a0dd5291e1300fc064e64054e.webp
61,Mew ex,205/165,pokemon,45,ptcg100#45/tcg300#45,pass,未檢查,pass,否,500x706,0.4891,0.0,0.0013,三項都過；畫布 500x706（非 429x600 標準）,apps/web/public/market-assets/915f7e785243ab28ea2620fff1cca94cceb39b89f48d6ccfe3d551a41afb26f1.webp
65,Mewtwo GX,082/072,pokemon,46,ptcg100#46/tcg300#46,fail,pass,pass,否,504x712,0.6359,0.0,0.0165,白角 1/4（圓弧外係實心白背景）；畫布 504x712（非 429x600 標準）,apps/web/public/market-assets/3a4b92c14fafde26a9c079e3cccb9c9b899517fcd8190f505d99790c76143c6d.webp
74,Charizard VMAX SUR,SV107,pokemon,47,ptcg100#47/tcg300#47,pass,未檢查,pass,是,429x600,0.0,0.0,0.1014,三項都過,apps/web/public/market-assets/3bad4ca7e708e76832a17c83264885a5b91f592db42a94af267b600b75660268.webp
96,Charizard,011/087,pokemon,48,ptcg100#48/tcg300#48,fail,pass,pass,否,716x996,0.7627,0.0,0.003,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/99bd266ab6b8fbf7861457787682a583a84cfcb3d6ed3a5cf79dbecc0b47867e.webp
66,Charizard ex,349/190,pokemon,49,ptcg100#49/tcg300#49,pass,未檢查,pass,否,640x903,0.3697,0.0,0.0014,三項都過；畫布 640x903（非 429x600 標準）,apps/web/public/market-assets/dab5f0083b9872e488e096998712c1ecd2c359c3694d84f27ccf477c6939fc6c.webp
70,Cramorant,226/S-P,pokemon,50,ptcg100#50/tcg300#50,pass,未檢查,pass,否,632x895,0.2923,0.0,0.0536,三項都過；畫布 632x895（非 429x600 標準）,apps/web/public/market-assets/d77ba5a7f4f2efbdba3bf668a8c174324859992b32c1a211e7e6f266909a728f.webp
131,Charizard VMAX,SWSH261,pokemon,51,ptcg100#51/tcg300#51,pass,未檢查,pass,是,433x605,0.0,0.0,0.058,三項都過；畫布 433x605（非 429x600 標準）,apps/web/public/market-assets/3f7c4185ba4044bfbb0c898588dc64a7383296889e5737b27d864953b36f17fa.webp
77,Pikachu,205/172,pokemon,52,ptcg100#52/tcg300#52,fail,pass,pass,否,704x1000,0.6073,0.0,0.0056,白角 1/4（圓弧外係實心白背景）；畫布 704x1000（非 429x600 標準）,apps/web/public/market-assets/fcc7dbd88f8cbc7bc28c0e6393dec41561a196a5bc6edfdcfddf62ed17ddaf6b.webp
85,Reshiram ex,174/086,pokemon,53,ptcg100#53/tcg300#53,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/341cb9a3f10986c685ec77744993f7a2f843daf411c664d896ed9b679a11a60f.webp
68,Lillie,066/060,pokemon,54,ptcg100#54/tcg300#54,fail,pass,pass,否,716x998,1.0,0.0,0.0442,白角 4/4（圓弧外係實心白背景）；畫布 716x998（非 429x600 標準）,apps/web/public/market-assets/a73b5d92e7dc3f3ee3f852e687459909ae9e68d3c247e3d90d97dd3de22465b9.webp
73,Sylveon ex,212/187,pokemon,55,ptcg100#55/tcg300#55,fail,pass,pass,否,715x1000,0.2881,0.0,0.0008,淺色方角 1/4（圓弧外係淺灰背景）；畫布 715x1000（非 429x600 標準）,apps/web/public/market-assets/e2b6921aac13f0d0fa516e05e063bcb4fff751d9143c2e1ea8e0716e1166c0c2.webp
79,Charizard ex,134/108,pokemon,56,ptcg100#56/tcg300#56,pass,未檢查,pass,否,640x904,0.3979,0.0,0.0019,三項都過；畫布 640x904（非 429x600 標準）,apps/web/public/market-assets/845355a7ee22d88f220be8c8c8bb08f0479dd712a6e8483acbc20773edd1604f.webp
