variant_id,opaque_id,canonical_name,set_name,collector_number,identity_status,in_roster,has_gemrate_id,other_psa_pop_source,other_psa_pop,latest_price_usd,price_source,price_as_of,price_is_psa10_source,assumed_pop,assumed_pop_basis,would_pass_pop1000_gate,potential_market_cap_usd_assumed,potential_market_cap_usd_at_pop1000
110,cmc_20a1b24c18307ac834b771c5,Monkey D. Luffy,2024 Championship 2024 Event Pack Cs Event Pack-Serialized,OP07-109,confirmed,0,1,ebay,218,22800.0,g10_kline,2026-07-25,1,218,observed_ebay,0,4970400.0,22800000.0
203,cmc_04d8e020c39bf65f0b9d87c3,Monkey D Luffy,Champion Ship Prize,ST10-006,confirmed,0,0,snkrdunk,279,17396.86,g10_kline,2026-07-25,1,279,observed_snkrdunk,0,4853723.94,17396860.0
232,cmc_99faaf5d371b7ee2f92380e4,Shanks SR-SP Booster Pack Emperors In The New World,Comic Parallel,OP09-004,confirmed,0,0,snkrdunk,1955,2299.99,g10_kline,2026-07-25,1,1955,observed_snkrdunk,1,4496480.45,2299990.0
1615,cmc_58e8c9b9e985d500cf06215b,Nefeltari Vivi,Promotional Card Championships 2024 Souvenirs,OP05-086,confirmed,0,0,,,4761.25,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,4399395.0,4761250.0
220,cmc_c81baffb60662ad033a5a5f0,Monkey D Luffy,2022 Super Pre Release Starter Deck Straw Hat Pirates,ST01-001,confirmed,0,0,ebay,1199,3600.0,g10_kline,2026-07-25,1,1199,observed_ebay,1,4316400.0,3600000.0
1623,cmc_d24a21a01571e37f8dde8f0a,Boa Hancock SR-P,Premium Booster One Piece Card The Best Storage Box Set,ST17-004,confirmed,0,0,,,4504.87,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,4162499.88,4504870.0
224,cmc_c2907680f5460d1d58b7221a,Portgas.D.Ace SEC-RSP Booster Pack CARRYING ON HIS WILL,Red Comic Parallel,OP13-119,confirmed,0,0,snkrdunk,523,7935.41,g10_kline,2026-07-25,1,523,observed_snkrdunk,0,4150219.43,7935410.0
244,cmc_df8595a45923015228e867d1,Marshall.D.Teach SR-SP Booster Pack Emperors In The New World,Comic Parallel,OP09-093,confirmed,0,0,snkrdunk,2049,1999.99,g10_kline,2026-07-25,1,2049,observed_snkrdunk,1,4097979.51,1999990.0
239,cmc_17e937a09355324d7b4ce42f,Monkey.D.Luffy Wanted SEC-SPC,Booster Pack Emperors in the New World,OP05-119,confirmed,0,0,ebay,2957,1250.0,g10_kline,2026-07-25,1,2957,observed_ebay,1,3696250.0,1250000.0
302,cmc_8a97de672cd70466c3f61693,Portgas.D.Ace SEC-SP Booster Pack CARRYING ON HIS WILL,Comic Parallel,OP13-119,confirmed,0,0,snkrdunk,1483,2441.66,g10_kline,2026-07-25,1,1483,observed_snkrdunk,1,3620981.78,2441660.0
271,cmc_c99322ccf532b4b1696ec977,Nami,2024 Emperors In the New World Special Alternate Art,OP08-106,confirmed,0,0,ebay,2095,1700.0,g10_kline,2026-07-25,1,2095,observed_ebay,1,3561500.0,1700000.0
262,cmc_36b111c90b9231f4b202c55b,Monkey D. Luffy,2025 2nd Anniversary Set - English,OP09-061,confirmed,0,0,ebay,2805,1236.0,g10_kline,2026-07-25,1,2805,observed_ebay,1,3466980.0,1236000.0
247,cmc_0cd499793323d39a845d5a9d,Gear Two,2025 A Fist of Divine Speed Alternate Art,OP11-080,confirmed,0,0,ebay,4727,733.13,g10_kline,2026-07-25,1,4727,observed_ebay,1,3465505.51,733130.0
290,cmc_307d84a7a0156fdf94a7285a,Marshall D. Teach,2024 Emperors In the New World Manga Alternate Art,OP09-093,confirmed,0,0,ebay,874,3899.0,g10_kline,2026-07-25,1,874,observed_ebay,0,3407726.0,3899000.0
298,cmc_6500ebc5d8072d33629701d5,Marshall.D.Teach SR-SPC 3th Anniversary Special Card Booster Pack LEGACY OF THE MASTER,Gold Background,OP09-093,confirmed,0,0,snkrdunk,924,3650.29,g10_kline,2026-07-25,1,924,observed_snkrdunk,0,3372867.96,3650290.0
281,cmc_62bb630926789fb0127bf273,Trafalgar Law SEC-SP Booster Pack Royal Blood,Comic Parallel,OP10-119,confirmed,0,0,snkrdunk,2868,1149.99,g10_kline,2026-07-25,1,2868,observed_snkrdunk,1,3298171.32,1149990.0
1622,cmc_2485a09f5e803b18bd1683d0,Nami C-P,Premium Booster One Piece Card The Best Storage Box Set,ST01-007,confirmed,0,0,,,3540.41,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,3271338.84,3540410.0
245,cmc_8af331d4a37caf03db2e4afc,Portgas D. Ace,2025 Piece Card Game Carrying On His Will,OP13-119,confirmed,0,0,ebay,269,12000.0,g10_kline,2026-07-25,1,269,observed_ebay,0,3228000.0,12000000.0
279,cmc_46ba0546740aeabee014d421,Shanks,2024 Emperors In the New World Manga Alternate Art,OP09-004,confirmed,0,0,ebay,919,3300.0,g10_kline,2026-07-25,1,919,observed_ebay,0,3032700.0,3300000.0
291,cmc_f90367146e1d5617b9e94bca,Sabo SEC-RSP Booster Pack CARRYING ON HIS WILL,Red Comic Parallel,OP13-120,confirmed,0,0,snkrdunk,524,5700.0,g10_kline,2026-07-25,1,524,observed_snkrdunk,0,2986800.0,5700000.0
307,cmc_c4258b77b8b98f2c0882fa39,Roronoa Zoro,Promotional Card Flagship Battle Top 8 Souvenirs,ST21-015,confirmed,0,0,snkrdunk,4221,702.08,g10_kline,2026-07-25,1,4221,observed_snkrdunk,1,2963479.68,702080.0
304,cmc_c9ea721e142a461dbe82a291,Monkey D. Luffy,2023 Awakening of the New Era Alternate Art,OP05-119,confirmed,0,0,ebay,2759,1067.5,g10_kline,2026-07-25,1,2759,observed_ebay,1,2945232.5,1067500.0
278,cmc_f2563474c61bfa66a8327595,Marshall D. Teach,2025 Legacy of the Master (Op12) - English SP Version (Sp Next To Number) Gold,OP09-093,confirmed,0,0,ebay,724,4050.0,g10_kline,2026-07-25,1,724,observed_ebay,0,2932200.0,4050000.0
301,cmc_55a88e220a16d41f1f796cdb,Trafalgar Law,2025 Piece Card Game Royal Blood Manga Art,OP10-119,confirmed,0,0,ebay,2099,1369.92,g10_kline,2026-07-25,1,2099,observed_ebay,1,2875462.08,1369920.0
1629,cmc_985ecf5d6263d78d4104c83e,Buggy Gold Background R-SPC 3th Anniversary Special Card,Booster Pack THE AZURE SEA'S SEVEN,OP09-051,confirmed,0,0,,,2978.83,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,2752438.92,2978830.0
287,cmc_da5daf352803a84c1b13189d,Jewelry Bonney,2025 Op12-Legacy of the Master Manga Alternate Art,OP12-118,confirmed,0,0,ebay,2370,1155.34,g10_kline,2026-07-25,1,2370,observed_ebay,1,2738155.8,1155340.0
286,cmc_7002e96ed0b05428f127f2d0,Portgas D. Ace,2025 Promo Official Event Serialized Top Prize,OP07-119,confirmed,0,0,ebay,190,13999.99,g10_kline,2026-07-25,1,190,observed_ebay,0,2659998.1,13999990.0
305,cmc_a3af05321a4e9d4e83618070,Shanks,2025 Carrying On His Will (Op13) - English SP Ver. (Sp Next To Number) Gold,OP09-004,confirmed,0,0,ebay,739,3219.95,g10_kline,2026-07-25,1,739,observed_ebay,0,2379543.05,3219950.0
308,cmc_f7d82e6d7894a868a20c5c6a,Silvers Rayleigh,2024 Two Legends Manga Alternate Art,OP08-118,confirmed,0,0,ebay,1978,1159.0,g10_kline,2026-07-25,1,1978,observed_ebay,1,2292502.0,1159000.0
303,cmc_d830f635242706b5a3ecc80e,Sabo,2025 Carrying On His Will Red Manga Art,OP13-120,confirmed,0,0,ebay,250,9100.0,g10_kline,2026-07-25,1,250,observed_ebay,0,2275000.0,9100000.0
310,cmc_a83acf0cf2dab5d6bc22fc78,Monkey D. Luffy,2025 Piece Card Game Carrying On His Will,OP09-119,confirmed,0,0,ebay,2074,1085.0,g10_kline,2026-07-25,1,2074,observed_ebay,1,2250290.0,1085000.0
312,cmc_db587c73ccc310190267ce16,Shanks Gold Background SR-SPC 3th Anniversary Special Card,Booster Pack CARRYING ON HIS WILL,OP09-004,confirmed,0,0,snkrdunk,969,2130.35,g10_kline,2026-07-25,1,969,observed_snkrdunk,0,2064309.15,2130350.0
315,cmc_4b1c1be9166c6ac0af2be1ea,Monkey D. Luffy,2025 Carrying On His Will Alternate Art,OP13-118,confirmed,0,0,ebay,4047,455.0,g10_kline,2026-07-25,1,4047,observed_ebay,1,1841385.0,455000.0
309,cmc_bd424ea7c768fc2fd419e13a,Sabo SEC-SP Booster Pack CARRYING ON HIS WILL,Comic Parallel,OP13-120,confirmed,0,0,snkrdunk,1334,1275.77,g10_kline,2026-07-25,1,1334,observed_snkrdunk,1,1701877.18,1275770.0
1606,cmc_1a84861ab0814d6e0f6cb3f8,Monkey.D.Luffy L,PSA Exclusive Collaboration Promo Card,OP05-060,confirmed,0,0,,,1770.21,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,1635674.04,1770210.0
313,cmc_e1de42676ee917c37e868e5e,Portgas D. Ace,2025 Carrying On His Will Wanted Poster Error,OP13-119,confirmed,0,0,ebay,2090,780.0,g10_kline,2026-07-25,1,2090,observed_ebay,1,1630200.0,780000.0
1644,cmc_49ccca341a638886486c5ce3,Enel SEC-SP Booster Pack Adventure on KAMI’s Island,Comic Parallel,OP15-118,confirmed,0,0,,,1761.33,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,1627468.92,1761330.0
1628,cmc_d6ebccd45f7b8eade4a57dd9,Nami SR-SPC,Extra Booster ONE PIECE Heroines edition,EB03-053,confirmed,0,0,,,1750.0,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,1617000.0,1750000.0
1640,cmc_72ea5409f7b1c638603a436c,Roronoa Zoro R-SPC,Extra Booster EGGHEAD CRISIS,PRB02-006,confirmed,0,0,,,1750.0,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,1617000.0,1750000.0
319,cmc_46d31536f17d140d3703be82,Shanks Silver Background SR-SPC 3th Anniversary Special Card,Booster Pack CARRYING ON HIS WILL,OP09-004,confirmed,0,0,snkrdunk,672,2200.0,g10_kline,2026-07-25,1,672,observed_snkrdunk,0,1478400.0,2200000.0
316,cmc_552a66fa9097d0c08afffe77,Shanks,2025 Promos Official Event Top Prize,OP09-004,confirmed,0,0,ebay,143,10100.0,g10_kline,2026-07-25,1,143,observed_ebay,0,1444300.0,10100000.0
317,cmc_c0007462d102ce55fc4f5f5c,Sabo,2025 Carrying On His Will (Op13) - English Manga Alt. Art Parallel,OP13-120,confirmed,0,0,ebay,906,1450.0,g10_kline,2026-07-25,1,906,observed_ebay,0,1313700.0,1450000.0
318,cmc_d46933c68191b65b8c4b8978,Monkey D. Luffy,2025 Piece Card Game Promos,OP12-015,confirmed,0,0,ebay,376,3300.0,g10_kline,2026-07-25,1,376,observed_ebay,0,1240800.0,3300000.0
1638,cmc_4b6cf2ec6ae083934fe3221f,Monkey.D.Luffy L,ANNIVERSARY SET English 2nd ANNIVERSARY SET Japanese Ver.,OP09-061,confirmed,0,0,,,1300.0,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,1201200.0,1300000.0
1641,cmc_a34dc9ed75fd8a9d1d425214,Monkey.D.Luffy Promotional Card ONE PIECE COLLEGE BASKETBALL US VOYAGE,Opened,P-055,confirmed,0,0,,,1208.62,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,1116764.88,1208620.0
1604,cmc_78b48dc9359e25b2d31706f8,Onami R-SPC,Booster Pack 500 Yeas in the Future,OP06-101,confirmed,0,0,,,1199.9,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,1108707.6,1199900.0
1624,cmc_fe93952fc0e7b7cee48130f4,Monkey.D.Luffy L-P,Start Deck EX Gear 5,ST21-001,confirmed,0,0,,,1159.79,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,1071645.96,1159790.0
1608,cmc_b25091f4b9c2998f0ef5a05f,Monkey.D.Luffy,Special Goods Set 2nd ANNIVERSARY SET,ST13-015,confirmed,0,0,,,1149.99,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,1062590.76,1149990.0
1599,cmc_49a42e588934e9313ead2757,Boa Hancock SR-SPC,Booster Pack The Kingdom Of Conspiracy,OP01-078,confirmed,0,0,,,1068.23,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,987044.52,1068230.0
1642,cmc_da879a53be32dc8a58e11dd2,Monkey.D.Luffy L Opened,Promotional Card Ichibansho ONE PIECE CARD GAME Purchase Bonus,OP13-001,confirmed,0,0,,,976.67,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,902443.08,976670.0
1605,cmc_8b8a75713893770042134245,Silvers Rayleigh SEC-SP Booster Pack Two Legends,Comic Parallel,OP08-118,confirmed,0,0,,,950.0,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,877800.0,950000.0
1602,cmc_02a2d1e9c9ad0e90c2394a16,Monkey D Luffy L,Weekly Shonen Jump 2023 6th and 7th issue All applicants service Recafig,ST01-001,confirmed,0,0,,,854.58,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,789631.92,854580.0
14,cmc_87665adb6992d3d58fa32d8f,Monkey D Luffy SR-P,Booster Pack Awakening of the New Era,ST01-012,confirmed,0,0,snkrdunk,3582,213.58,g10_kline,2026-07-25,1,3582,observed_snkrdunk,1,765043.56,213580.0
1643,cmc_c3fa4325e6a83b9002b43af4,Boa Hancock SR-SPC,Booster Pack Adventure on KAMI’s Island,OP12-014,confirmed,0,0,,,817.96,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,755795.04,817960.0
1614,cmc_05ed7cce175c70c650f7e35c,Boa Hancock SR-SPC,Booster Pack Emperors In The New World,OP07-051,confirmed,0,0,,,781.2,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,721828.8,781200.0
1637,cmc_44ee12726fcc14f2c8bdd9cf,Monkey.D.Luffy SEC,Promotional Card 3rd ANNIVERSARY SET,OP09-119,confirmed,0,0,,,763.02,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,705030.48,763020.0
1645,cmc_073990b737e88ad9382a8962,Monkey.D.Luffy SR-SPC,Booster Pack Adventure on KAMI’s Island,ST26-005,confirmed,0,0,,,622.62,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,575300.88,622620.0
1621,cmc_8bde6396f6f9f7b23d16c663,Monkey.D.Luffy,Promotional Card Mos Burger Collaboration Lucky Bag,P-080,confirmed,0,0,,,470.02,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,434298.48,470020.0
1626,cmc_fa97ea63cade8b9f90d5f5bb,Monkey.D.Luffy Wanted SEC-SPC,Booster Pack CARRYING ON HIS WILL,OP13-118,confirmed,0,0,,,466.0,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,430584.0,466000.0
1627,cmc_3eca7e931136a82ffc5cc6b4,Monkey.D.Luffy SEC-P,Booster Pack CARRYING ON HIS WILL,OP13-118,confirmed,0,0,,,465.52,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,430140.48,465520.0
1613,cmc_5c3a3c98a8593dac94449f99,Monkey.D.Luffy,Premium Card Collection - ONE PIECE DAY'24 -,OP07-109,confirmed,0,0,,,350.0,g10_kline,2026-07-25,1,924,comparable_median_assumption,0,323400.0,350000.0
256,cmc_b35f66b1fba7ccbdb54f96a9,Monkey.D.Luffy,Promotional Card Championship 2023 Event Pack,P-033,confirmed,0,0,snkrdunk,633,392.23,g10_kline,2026-07-25,1,633,observed_snkrdunk,0,248281.59,392230.0
